"codice_tipologia","provincia","regione","soggetto","formato","prodotto","produttore"
"L34","VI","Veneto","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","VI","Veneto","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","VE","Veneto","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","VI","Veneto","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","VR","Veneto","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","PD","Veneto","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","PD","Veneto","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","TV","Veneto","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","TV","Veneto","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","PD","Veneto","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","MB","Lombardia","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","VI","Veneto","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","VI","Veneto","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","BO","Emilia Romagna","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","VR","Veneto","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"C7","CN","Piemonte","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","RO","Veneto","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","PN","Friuli Venezia Giulia","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","VI","Veneto","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","RE","Emilia Romagna","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","IM","Liguria","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","RA","Emilia Romagna","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","UD","Friuli Venezia Giulia","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","TV","Veneto","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","MO","Emilia Romagna","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"C7","TO","Piemonte","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","FE","Emilia Romagna","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","TV","Veneto","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","RE","Emilia Romagna","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","VI","Veneto","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","MO","Emilia Romagna","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","PD","Veneto","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","PR","Emilia Romagna","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","VI","Veneto","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","MO","Emilia Romagna","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","VI","Veneto","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","PD","Veneto","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","VI","Veneto","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"C7","TO","Piemonte","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","TS","Friuli Venezia Giulia","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza ed assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","UD","Friuli Venezia Giulia","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","PR","Emilia Romagna","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","FC","Emilia Romagna","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","BO","Emilia Romagna","Previdenza e assistenza","Firebird","CONTABILITA' OSPITI","Cba informatica s.r.l."
"L34","FE","Emilia Romagna","Previdenza e assistenza","Firebord","CONTABILITA' OSPITI","Cba Informatica s.r.l. viale Trento, n. 56 - 38068 Rovereto (TN) P.IVA 01854700224"
"L34","VI","Veneto","Previdenza e assisternza","Firebird","Contabilità ospiti","Cba informatica srl"
"L34","VI","Veneto","Previdenza e assistenza","Firebird","Contabilità ospiti","Cba informatica srl"
"L34","UD","Friuli Venezia Giulia","Previdenza e assistenza","Firebird","Contabilità ospiti","Cba informatica srl"
"L34","UD","Friuli Venezia Giulia","Previdenza e assistenza","Firebird","Contabilità ospiti","Cba informatica s.r.l."
"L34","BZ","Trentino Alto Adige","Previdenza e assistenza","Firebird","Contabilità ospiti","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CONTABILITA' UTENTI","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CONTABILITA' UTENTI","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza e assistenza","Firebird","CONTABILITA' UTENTI","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Previdenza ed assistenza","Firebird","CONTABILITA' UTENTI","Cba informatica s.r.l."
"L34","TN","Trentino Alto Adige","Altro: Gestione utenti","Firebird","CONTABILITÀ UTENTI","Cba informatica s.r.l."
"L8","PZ","Basilicata","Lavoro","Dbms oracle","ContoAnnuale","Publisys S.p.A"
